event_number,true_pid,charge,recomputed_chi2pid,sector,layer,component,sigma,dt,is_matched
195,211,1,-1.14647,1,2,50,0.1,-0.114647,1
196,2212,1,65.0811,4,2,4,0.062,4.03503,1
198,211,1,0.472641,5,2,26,0.08,0.0378113,1
201,211,1,99999,-1,-1,-1,-1,99999,1
206,2212,1,30.352,6,2,34,0.087,2.64062,1
208,2212,1,64.9551,1,2,48,0.099,6.43056,1
208,211,1,0.075175,3,2,19,0.075,0.00563812,1
208,-999,1,-1.73006,3,2,30,0.084,-0.145325,0
210,2212,1,25.751,1,2,16,0.072,1.85407,1
210,211,1,-1.87028,2,2,31,0.085,-0.158974,1
210,211,1,-0.645387,2,2,20,0.076,-0.0490494,1
216,-999,1,130.934,6,2,14,0.071,9.29635,0
218,2212,1,99999,-1,-1,-1,-1,99999,1
219,321,1,5.18929,4,2,35,0.088,0.456657,1
219,2212,1,72.0892,2,2,37,0.09,6.48803,1
220,2212,1,99999,-1,-1,-1,-1,99999,1
221,211,1,-1.71549,4,2,19,0.075,-0.128662,1
221,2212,1,45.717,6,2,29,0.083,3.79451,1
222,2212,1,31.4404,4,2,45,0.096,3.01828,1
223,-999,1,50.2923,4,2,40,0.092,4.62689,0
225,2212,1,23.8604,3,2,38,0.09,2.14744,1
227,211,1,0.750427,5,2,50,0.1,0.0750427,1
231,2212,1,87.3026,5,2,23,0.078,6.8096,1
233,211,1,1.41996,5,2,1,0.06,0.0851974,1
234,211,1,0.0011165,6,2,28,0.082,9.15527e-05,1
234,211,1,99999,-1,-1,-1,-1,99999,1
236,211,1,0.11789,3,2,17,0.073,0.00860596,1
236,-999,1,96.8235,5,2,3,0.062,6.00306,0
238,211,1,-1.44476,3,2,11,0.068,-0.0982437,1
239,2212,1,12.2133,5,2,11,0.068,0.830505,1
240,2212,1,18.5893,1,2,28,0.082,1.52432,1
240,211,1,-0.695819,4,2,30,0.084,-0.0584488,1
249,211,1,-0.836916,3,2,24,0.079,-0.0661163,1
250,2212,1,65.6645,4,2,35,0.088,5.77847,1
254,211,1,0.933795,6,2,15,0.071,0.0662994,1
257,211,1,2.25681,6,2,28,0.082,0.185059,1
257,-999,1,259.11,4,2,43,0.094,24.3564,0
258,2212,1,31.5014,6,2,27,0.081,2.55161,1
260,211,1,-1.64624,2,2,31,0.085,-0.139931,1
260,-999,1,455.417,5,2,14,0.071,32.3346,0
262,211,1,-0.346947,1,2,26,0.08,-0.0277557,1
265,2212,1,13.8019,1,2,32,0.085,1.17316,1
266,2212,1,10.5713,4,2,58,0.107,1.13113,1
273,2212,1,55.6793,6,2,28,0.082,4.5657,1
275,211,1,-0.500703,5,2,23,0.078,-0.0390549,1
275,211,1,0.154037,1,2,24,0.079,0.0121689,1
276,2212,1,74.5373,6,2,24,0.079,5.88845,1
279,2212,1,25.5937,1,2,61,0.109,2.78971,1
283,2212,1,5.50669,1,2,8,0.066,0.363441,1
286,2212,1,25.1066,2,2,33,0.086,2.15916,1
289,-999,1,3.83601,5,2,34,0.087,0.333733,0
290,2212,1,87.2055,4,2,9,0.067,5.84277,1
291,-999,1,-2.04076,5,2,20,0.076,-0.155098,0
294,2212,1,72.6001,5,2,18,0.074,5.37241,1
295,211,1,99999,-1,-1,-1,-1,99999,1
296,211,1,-0.63448,5,2,26,0.08,-0.0507584,1
300,2212,1,144.799,6,2,12,0.069,9.99113,1
301,211,1,0.656706,2,2,8,0.066,0.0433426,1
